iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
39,1,5,False,No,0.869175747059482,1.1691331069455446,1.0812645869284467
40,1,5,False,No,0.8673222898435966,1.1504872027836661,1.072607664891346
41,1,5,False,No,0.9006906885048271,1.2645888844735649,1.1245394099245989
42,1,5,False,No,0.8656707823368361,1.1348210717141847,1.0652798091178601
43,1,5,False,No,0.8695277709617842,1.170390629830095,1.0818459362728572
44,1,5,False,No,0.8719525512580446,1.2048442898868768,1.0976539937006
45,1,5,False,No,0.8425505280653166,1.1029275876146885,1.0502035934116243
46,1,5,False,No,0.8794347615814255,1.186206323290507,1.089130994550475
47,1,5,False,No,0.8803358981906677,1.2044594416788796,1.097478674817365
48,1,5,False,No,0.8554208703710483,1.1504170967107694,1.0725749841902754
49,1,5,False,No,0.83806326349296,1.1330876472723541,1.0644658976558874
0,2,1,False,No,0.9125713770681675,1.2651704881290244,1.1247979765846952
1,2,1,False,No,0.9371012683800249,1.3477564592282627,1.160929136178545
2,2,1,False,No,0.9190428441524838,1.3394016273680265,1.1573252038074806
3,2,1,False,No,0.906586037445548,1.262985150014899,1.1238261208990024
4,2,1,False,No,0.924557924247265,1.3343562200095838,1.1551433763864916
5,2,1,False,No,0.9545138754175235,1.3820540892811155,1.1756079658122072
6,2,1,False,No,0.9678549229946074,1.4648491541484046,1.2103095282399476
7,2,1,False,No,0.9132648075259787,1.2602640963660023,1.1226148477398659
8,2,1,False,No,0.9148053998517902,1.2977790286475903,1.1392010483876804
9,2,1,False,No,0.8992604094666651,1.2654956955946433,1.1249425299074807
10,2,1,False,No,0.9101734507424357,1.2919653398609463,1.1366465325073343
11,2,1,False,No,0.90694824211954,1.3067938984710488,1.143150864265539
12,2,1,False,No,0.9147948957884967,1.3036899665476698,1.1417924358427278
13,2,1,False,No,0.9538929171344714,1.3872679410224757,1.177823391269878
14,2,1,False,No,0.9278545222751529,1.3434292865533812,1.1590639700005265
15,2,1,False,No,0.929492389574241,1.324272891238198,1.1507705641170172
16,2,1,False,No,0.9486317822314062,1.3565632431684205,1.16471594956385
17,2,1,False,No,0.9130941841522907,1.319107231999328,1.1485239361891104
18,2,1,False,No,0.8838874002548162,1.253948931542541,1.1197986120470684
19,2,1,False,No,0.9166506765949929,1.326213058138915,1.151613241561122
20,2,1,False,No,0.9302765858896659,1.3193885340166278,1.148646392070522
21,2,1,False,No,0.9043900740521407,1.2541266053729547,1.119877942176269
22,2,1,False,No,0.942990205320917,1.3896783106324857,1.1788461776807377
23,2,1,False,No,0.914097418153046,1.3351142312206508,1.1554714324554505
24,2,1,False,No,0.9371137881155909,1.3284657568029659,1.1525908887384828
25,2,1,False,No,0.9274193713521935,1.3182364765689418,1.1481447977363055
26,2,1,False,No,0.8743699325025669,1.1953830241209853,1.0933357325730213
27,2,1,False,No,0.9172212059661896,1.3135675865950236,1.1461097620189018
28,2,1,False,No,0.911148903530382,1.2696932152574996,1.1268066450183454
29,2,1,False,No,0.916002954504308,1.297686852953899,1.1391605913802931
30,2,1,False,No,0.9319954515297683,1.3613151122689549,1.1667540924586273
31,2,1,False,No,0.9252804837211133,1.3360017835285656,1.1558554336631228
32,2,1,False,No,0.9115088189364274,1.2641567655037316,1.1243472619719104
33,2,1,False,No,0.9107507801100099,1.2889720222962693,1.135329037018022
34,2,1,False,No,0.9338531224205197,1.3176654215782946,1.1478960848344655
35,2,1,False,No,0.9053870404279488,1.2330292108870564,1.110418484575548
36,2,1,False,No,0.8962463621275342,1.2459725648708475,1.1162314118814465
37,2,1,False,No,0.9125811606807663,1.272488275151206,1.1280462203080184
38,2,1,False,No,0.8993586233462857,1.2444232402446531,1.1155371980551134
39,2,1,False,No,0.9259312441617199,1.2992436938396994,1.1398437146555223
40,2,1,False,No,0.9608585992427007,1.4381839665012808,1.1992430806559948
41,2,1,False,No,0.9528300106221421,1.3993164022092943,1.1829270485576422
42,2,1,False,No,0.9286903153158595,1.3181121188217175,1.1480906405078466
43,2,1,False,No,0.9060099355144239,1.2567292394519858,1.1210393567810122
44,2,1,False,No,0.9418188606688166,1.3727852593070542,1.171659190766263
45,2,1,False,No,0.9066425957311081,1.2648047861595648,1.1246354014344226
46,2,1,False,No,0.9255357059403931,1.3316157437002936,1.1539565605776907
47,2,1,False,No,0.9357172794561223,1.3606805620385023,1.1664821310412357
48,2,1,False,No,0.9439613656117583,1.3839117547367106,1.1763977876282794
49,2,1,False,No,0.9511387675821857,1.390589311940112,1.1792325097028626
0,2,2,False,No,0.9182464298428492,1.2829672905218255,1.1326814603063942
1,2,2,False,No,0.8958827549468465,1.2432753506430778,1.1150225785351064
2,2,2,False,No,0.8740387084586705,1.1960619459338608,1.0936461703557787
3,2,2,False,No,0.8954674944281745,1.2155634413156935,1.1025259367995355
4,2,2,False,No,0.8791446731781278,1.1956225617035157,1.093445271471561
5,2,2,False,No,0.8938398408408622,1.227976930157978,1.1081412049725332
6,2,2,False,No,0.8783272031893297,1.1889532461143582,1.0903913270538967
7,2,2,False,No,0.8943483995326051,1.2293680590442082,1.10876871305255
8,2,2,False,No,0.8790903767663812,1.2026822553680807,1.096668708119312
9,2,2,False,No,0.8909792879831344,1.2282802304896567,1.1082780474635672
10,2,2,False,No,0.8703821010879363,1.161106164248134,1.0775463629227904
11,2,2,False,No,0.8960177008076664,1.2596380086634051,1.1223359606924324
12,2,2,False,No,0.9141140117359146,1.3189519556526097,1.1484563359800013
13,2,2,False,No,0.8688615092581254,1.1589952621214152,1.076566422531102
14,2,2,False,No,0.8995895159941015,1.2766279858151164,1.1298796333305228
15,2,2,False,No,0.9087383897817574,1.2849546259421611,1.1335583910598348
16,2,2,False,No,0.8680936728631433,1.1759684091756606,1.0844207712763807
17,2,2,False,No,0.9202719081280933,1.3049626394773008,1.142349613505997
18,2,2,False,No,0.8955008343171406,1.2251811455397768,1.1068790112472893
19,2,2,False,No,0.8810554912703074,1.2065163890619706,1.0984153991373076
20,2,2,False,No,0.8799738334084211,1.1919258707932434,1.091753576038679
21,2,2,False,No,0.9034184014739916,1.261659367283649,1.1232361137729008
22,2,2,False,No,0.8914752818771654,1.238828051984955,1.1130265279789853
23,2,2,False,No,0.8449307730290325,1.1332028738441213,1.0645200204054976
24,2,2,False,No,0.8808484044007546,1.2111387524158466,1.1005174930076516
25,2,2,False,No,0.88534620230062,1.1980646843156453,1.094561411852092
26,2,2,False,No,0.8681385690801555,1.1698870980770253,1.0816131924477554
27,2,2,False,No,0.8734851598232912,1.2048399602324367,1.0976520214678405
28,2,2,False,No,0.8746671946004593,1.1841290430206646,1.0881769355305526
29,2,2,False,No,0.8652190556070882,1.15707270675353,1.075673141225312
30,2,2,False,No,0.9064192883079822,1.2853818821088385,1.133746833340159
31,2,2,False,No,0.8756437418646157,1.1904053575872977,1.0910569909896082
32,2,2,False,No,0.8952843074996265,1.2371786792178612,1.112285340736747
33,2,2,False,No,0.9026794225988196,1.256277382500379,1.1208378038326414
34,2,2,False,No,0.8729341250303183,1.1893147262163457,1.0905570715081103
35,2,2,False,No,0.9120572281503938,1.2689853794529449,1.1264925119382485
36,2,2,False,No,0.898474241721041,1.2479305921316388,1.117108138065263
37,2,2,False,No,0.8982796411958778,1.265679021451463,1.1250240092777857
38,2,2,False,No,0.8741230843311321,1.1813245246451178,1.0868875400174196
39,2,2,False,No,0.8915157658612762,1.2540718853155652,1.1198535106501946
40,2,2,False,No,0.9319688448629077,1.3320009990018438,1.1541234764971398
41,2,2,False,No,0.8870579248916465,1.2163857031537404,1.102898772849866
42,2,2,False,No,0.8195398950767963,1.0652544786535743,1.0321116599736553
43,2,2,False,No,0.8882789069759972,1.2416905586449822,1.1143116972575413
44,2,2,False,No,0.8855552450745756,1.2413982139862199,1.1141805122987118
45,2,2,False,No,0.8786219831573299,1.2178163072406603,1.10354714771987
46,2,2,False,No,0.8735313476066953,1.1694734752860343,1.08142196911568
47,2,2,False,No,0.8734358436438383,1.1700988030397508,1.0817110533963081
48,2,2,False,No,0.8851522265416318,1.2048005757037703,1.097634080968594
49,2,2,False,No,0.8443142491175846,1.1042320938674215,1.0508244829025548
